124.280666,306.487830
125.530874,306.386385
125.584968,305.962927
125.839351,305.891719
126.060117,305.728045
126.093419,305.685284
126.924543,304.988336
127.423275,304.812110
127.686406,304.711258
127.772794,304.587534
127.837494,304.453336
127.907865,303.930471
128.111567,303.845900
128.133671,303.816640
128.238557,303.118588
128.275258,302.911908
128.440374,300.782388
129.911657,299.008113
130.724758,298.779470
131.681083,298.361457
131.935914,297.598311
132.425900,297.435090
132.703665,297.115161
132.936226,296.612748
133.232680,296.357094
133.449313,296.277672
133.634263,296.140169
133.925589,295.941504
134.531668,295.357557
134.847315,295.109122
135.097787,295.062475
135.636334,294.063209
136.098190,293.245971
136.749667,292.460718
137.058504,291.214594
137.073046,291.167192
137.548260,291.133766
137.711588,290.559792
137.729245,290.250305
137.892508,290.225321
138.291601,290.217361
138.396742,290.211943
140.251144,289.984568
140.449359,289.478045
140.531876,287.542287
140.658520,287.196409
192.856954,275.304611
193.051530,275.183123
193.462634,274.699645
193.516831,274.571043
193.632375,274.329865
193.751577,274.183792
194.311305,274.175179
194.451465,273.702497
194.692795,273.446932
194.778230,273.297635
195.076151,272.997377
195.099422,272.765924
195.159131,272.744855
195.561655,272.586457
195.699198,272.402317
195.891414,271.966277
196.439334,271.784638
196.670112,271.084704
196.944352,270.817634
197.257199,270.737720
197.331816,270.443024
197.502967,270.234338
197.916595,270.209747
198.017203,269.395585
198.237934,269.270342
198.485301,269.206709
198.690269,268.830560
198.804294,268.489801
199.043603,268.356349
199.397340,267.775958
211.729638,252.062229
211.792881,252.046267
211.804758,251.878382
211.933805,251.654612
212.756879,251.537297
212.811487,251.106406
212.858456,251.082381
213.053619,251.027179
213.108689,251.026788
213.129327,250.887600
213.213250,250.623329
214.569776,245.295572
215.164585,245.131834
215.599541,244.298849
215.656094,244.107936
215.942432,243.530569
215.995928,243.293503
216.043999,243.220009
216.474274,243.185949
216.650394,243.134906
216.735064,242.941461
216.789334,242.674602
216.820963,242.281373
216.873463,242.112581
217.158250,242.096416
217.480035,241.982249
218.273792,241.846595
218.561279,241.208204
218.720663,240.927927
218.896759,240.391579
219.306375,240.146701
219.862584,240.076021
220.198778,239.913712
220.416192,239.481326
220.876488,239.311800
221.713057,239.164974
221.841547,238.768361
221.948088,238.037261
222.037362,237.864893
222.182709,237.241097
263.015947,181.647831
263.187073,181.557086
263.698937,180.747731
263.876650,180.545558
264.857564,180.345612
264.934406,180.109460
264.985185,179.185489
265.003036,177.546755
265.082385,177.368756
265.208277,177.231257
265.278248,176.569289
265.512944,176.466864
265.650305,176.238052
265.674486,175.951330
265.677773,175.948681
265.819490,175.732967
