95.579234,59.010949,96.872100
95.588756,59.004501,96.944581
95.593710,58.999001,96.880843
95.637945,59.033776,96.871641
95.647761,59.016568,96.804046
95.709523,59.041941,96.651063
95.728440,59.023531,96.788018
95.754706,59.047330,96.638466
95.934413,58.961805,96.863314
96.140926,58.944166,97.147518
96.328239,58.937623,97.592903
96.723506,58.934286,98.044361
96.857981,58.855674,98.216754
96.864232,58.886742,98.157986
97.013351,58.860525,98.182374
97.290560,58.804989,98.456150
97.625231,58.783682,98.585771
97.843741,58.793821,98.482380
97.879841,58.766344,98.308439
98.052544,58.749975,98.026166
98.219378,58.715189,98.021395
98.685036,58.717151,97.124197
101.741854,58.796888,96.925049
103.509212,59.797559,95.898726
104.254602,59.527826,94.420824
106.662310,57.148081,89.448024
119.010365,31.481267,91.320796
184.722466,288.784772,68.128966
185.398874,287.919630,68.548366
186.449036,287.469035,67.900860
186.690843,287.004849,67.450532
186.715586,286.383179,68.029336
186.748165,286.377624,67.316259
187.492132,284.958502,68.006752
187.505713,286.299749,66.962490
187.601647,286.220842,66.504317
187.751512,286.566651,66.488443
188.581890,285.400595,66.610794
188.732850,285.105024,67.589533
189.352480,278.563830,61.140919
192.290001,275.711673,55.948054
195.747790,265.789609,54.664561
195.868615,156.410104,-20.802616
197.651150,235.078994,-40.791942
199.119517,161.113968,-25.938928
200.354452,233.718500,-69.494710
212.782918,226.849364,-89.650502
