0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.000000,0.000000,-0.299269
0.492007,0.550696,-1.061576
0.494860,0.551462,-1.304053
0.500360,0.550336,-1.320402
0.500472,0.542231,-1.059183
0.501319,0.536646,-1.094205
0.504768,0.533764,-1.094205
0.509927,0.532776,-1.061576
0.510586,0.530909,-1.061576
0.510837,0.529781,-1.077891
0.511329,0.528685,-1.077891
0.512634,0.549018,-1.304053
0.513787,0.527934,-1.061576
0.514827,0.527876,-1.133956
0.515770,0.525843,-1.061576
0.516128,0.547855,-1.304053
0.516207,0.545755,-1.305687
0.516340,0.511502,-1.061275
0.517091,0.542222,-1.304053
0.517718,0.522448,-1.133956
0.518098,0.521739,-1.207813
0.519035,0.543665,-1.305687
0.521530,0.537848,-1.304053
0.521579,0.532812,-1.304053
0.521846,0.520857,-1.061576
0.525373,0.532887,-1.305687
0.525505,0.516901,-1.061576
0.527198,0.510425,-1.060069
0.528342,0.512276,-1.077891
0.531216,0.507798,-1.060069
0.532674,0.528269,-1.320402
0.536086,0.525754,-1.320402
0.537444,0.518087,-1.320402
0.537594,0.505109,-1.059921
0.538311,0.501740,-1.077891
0.538632,0.500873,-1.061576
0.541910,0.497080,-1.133956
0.545263,0.491237,-1.009484
0.546542,0.496161,-1.061576
0.546977,0.512795,-1.320402
0.549528,0.511642,-1.305687
0.551497,0.502252,-1.305687
0.555593,0.502183,-1.305687
0.560116,0.491881,-1.305524
