68.373133,361.413911
73.641568,355.300036
74.628394,348.129888
92.651575,344.244032
94.634641,340.092269
104.615106,340.068022
105.544552,325.975226
108.916294,325.242519
113.571631,323.730684
120.128563,321.144522
124.361473,311.793055
136.959583,308.204031
139.293087,306.991807
141.275384,301.044601
144.746984,298.745287
160.326430,295.464225
160.596115,277.629688
161.288345,276.917082
162.106576,273.809051
163.072825,269.730379
164.571156,266.937398
165.673976,263.104597
169.123698,263.066379
176.708849,257.874471
179.884852,241.654998
198.892131,208.976625
200.535979,207.263094
201.600235,205.964805
201.608490,205.586386
204.869906,203.755670
206.868480,201.046885
209.307385,200.318061
210.973577,199.581645
211.920133,196.451150
213.985664,193.746227
214.840269,186.701012
