3250.224141,2430.719952,2334.712541,4302.747838,3348.998567,3347.986876,4235.908667,3303.254065,3280.838945
3729.788691,2516.736285,1976.475062,4199.899294,3264.597192,3253.213462,3889.779331,3035.540436,2981.511548
3720.477192,3033.676239,2984.264506,4225.535746,3250.724979,3287.468530,4061.487787,2969.748102,2952.572972
3712.325956,3112.145342,2893.806627,4244.989204,3274.992544,3306.791883,4010.891541,3037.611790,3056.664749
3710.819715,2492.584064,1887.269678,4194.755634,3268.439263,3254.402619,3897.679912,3037.980486,2991.682057
3709.670984,2474.692407,1874.654141,4196.908837,3265.588470,3252.135299,3911.662259,3045.700770,2991.238463
3663.662995,3043.793192,2933.288601,4216.955475,3252.346936,3281.344864,4012.908246,2937.405779,2984.642580
3537.085619,2964.827754,3041.892269,4217.795295,3274.539569,3259.150282,3967.086307,3010.325310,2911.700265
3447.936995,2989.740256,3149.185848,4257.353321,3305.581189,3283.644695,4089.495134,3071.908185,2992.524689
3327.893683,2493.196384,2407.137052,4302.989480,3345.250894,3347.120528,4229.652329,3276.921106,3297.947648
3321.220162,2474.905371,2399.773363,4306.509064,3344.506940,3348.392050,4246.090461,3280.645504,3294.601430
3296.930944,2422.167329,2319.568560,4305.571886,3350.065747,3348.881208,4241.011844,3296.065057,3288.964497
3273.247268,2456.720963,2362.014543,4301.786053,3348.352570,3348.251230,4232.428953,3307.177047,3282.363777
3763.846940,3008.282200,2885.389721,4221.464365,3253.859077,3290.771673,4019.515264,2989.652632,2965.055490
3253.993549,2398.254563,2320.550209,4303.572935,3349.024344,3347.769498,4217.474436,3278.322731,3287.280156
3720.473780,2635.839244,2144.993805,4202.575946,3283.889055,3265.208345,3988.172255,3069.988161,2950.431812
3570.705650,2613.000429,2445.037246,4263.278842,3323.917277,3315.543660,4137.769651,3161.996900,3117.609442
3734.518805,2589.219207,2066.597503,4201.465816,3285.867289,3261.475917,3967.065118,3051.848554,2936.106974
3505.432402,2918.565427,2675.347079,4273.155698,3310.350332,3326.094610,4139.000864,3178.143010,3170.496808
3602.998515,2679.083786,2429.545092,4256.444303,3317.819614,3314.298285,4104.342122,3175.038207,3116.222855
3620.711441,3021.782436,2760.553312,4262.197787,3294.496954,3324.592624,4072.872952,3028.925599,3144.816745
3719.834836,2725.778622,2260.047452,4213.212255,3294.650523,3272.808848,3980.563880,3103.738578,2961.553689
3400.551819,2757.556598,2566.576979,4285.136349,3322.348644,3331.230808,4157.464252,3232.431143,3198.661317
3444.963208,2739.797644,2853.733979,4281.842722,3331.846136,3316.414207,4164.010894,3203.864673,3158.816352
3543.817197,2979.694985,2734.183996,4271.594788,3301.830699,3324.343963,4109.745934,3112.428913,3129.632319
3484.650172,2870.657656,2639.032096,4278.932731,3314.152651,3329.097876,4141.437633,3187.837237,3182.931915
3459.717841,2829.980456,2959.690958,4276.775026,3321.153500,3306.502608,4161.605047,3181.049580,3112.603991
3509.803854,2802.217408,2919.876047,4275.751772,3327.419670,3309.646719,4161.815077,3209.848348,3112.971426
3707.537154,2705.352115,2288.983178,4211.324033,3297.477563,3279.612442,3991.381373,3098.341652,2985.132355
3693.972147,2706.211477,2257.017411,4216.959227,3296.064371,3280.966775,4008.535937,3106.488677,3010.363361
3712.809898,3078.371828,2814.122764,4251.432486,3276.642346,3313.226436,4093.246332,3031.903578,3106.362989
3404.599213,2626.264890,2361.946359,4270.212472,3307.709307,3317.132826,4113.624743,3131.328176,3190.787809
3506.576888,2993.916875,3083.753753,4230.484193,3289.755605,3269.122536,4021.216476,3080.549248,3026.768119
3680.932207,2641.372584,2338.205556,4239.053465,3302.089471,3293.590621,4050.884825,3158.711448,3088.544041
3672.856505,3065.143241,2783.912281,4256.703471,3283.053860,3317.638225,4117.861772,3024.856350,3124.262808
3456.380038,2880.655113,3021.123330,4270.671409,3317.905675,3305.920743,4118.569898,3133.579278,3119.155842
3663.649329,3095.088635,2874.267211,4231.912377,3275.359730,3291.446961,3959.964989,3022.175816,3030.346751
3526.227330,2604.489448,2459.462164,4274.406743,3325.137377,3319.873223,4138.315207,3187.236959,3137.627670
3726.820005,3055.166634,2843.087124,4226.514086,3259.863411,3298.175651,4045.254634,3003.637426,3017.007896
3717.596695,2496.264671,1922.572745,4198.142005,3264.961281,3252.553743,3914.961444,3042.239904,2992.020843
3630.928881,2697.368469,2406.550863,4252.007421,3313.348110,3304.999275,4111.979730,3160.322197,3078.561593
3434.056733,2867.525825,3045.153680,4260.831194,3319.169540,3299.078414,4102.173016,3124.314402,3117.792956
3521.036180,2591.191210,2443.599826,4271.342281,3328.339258,3323.142884,4121.594234,3201.239723,3142.363873
3527.200361,3005.226159,3064.680479,4219.734137,3280.275291,3264.672975,3986.008812,2997.501271,2923.703446
3515.742387,2600.133455,2458.358144,4278.114377,3333.156296,3329.599131,4131.299706,3207.697271,3176.752861
3692.075016,2658.028426,2327.218032,4232.549492,3298.482592,3287.471720,4033.233684,3145.463440,3071.140525
3655.208864,3086.903357,2875.947681,4228.912501,3269.271759,3285.967663,3968.150637,3038.821507,3006.081071
3535.129355,2962.616271,3046.096691,4218.636345,3275.828704,3260.484289,3963.731635,3009.086159,2927.247884
3308.671986,2589.888629,2555.172891,4290.740735,3326.242662,3329.141334,4148.538347,3191.681811,3210.158648
3435.419878,2662.692350,2791.864906,4290.068127,3339.617286,3319.119017,4182.473760,3255.339686,3180.843146
3723.398521,3089.444024,2817.655012,4247.052255,3277.834308,3309.363413,4021.452288,3026.013085,3074.272709
3547.520383,3020.487056,3060.400088,4223.169143,3280.278236,3265.837696,3995.947953,3008.470722,3006.312758
